qid,question_text,target
55089273b3c63e22765a,What was something you found interesting about Vietnam war?,0
9892945255418848b6fa,What are the top franchise in ceramic tile industry?,0
e1239d79ba5d56d5298e,What are some of the most common misconceptions about Iran?,0
c4e5292bb6dff8cf972e,How can I get a six pack when I have belly fat at the age of 16?,0
4cb6a57dd33ec5946286,Which is better iihm Kolkata or IHM Chennai?,0
8dfc0cabe74858ea29c9,What defines a genuine friendship?,0
5699454570d3c8ae0c27,Does SCET in Surat accepts MCA admission without CMAT?,0
373a18be3e6add6fd704,"What are Richard Rohr's inclinations towards the term ""third eye""?",0
8d8707afa26a1ca294f4,How is postal order a direct descendent of money order?,0
cdc129139864f376120e,What is the best model agency in Nashville?,0
c114d6c7d466b416b0ce,What are the components that is used in building a Tesla coil and its use?,0
03a296665230528cd526,How much does it cost me to become a model in Chennai?,0
f8e69a32d7cf998ad5bd,What was it like to grow up in the 1950s?,0
939a2694952ec8c18ab1,Why do some people believe that MRSA contagious?,0
eee02a1adc84db0ca810,How Do I backup nq vault?,0
7ecfdc74dd77901d5aa5,How do you I manage studies and co-curricular activities while I am very much determined for a branch change to CSE/ECE/electrical/chemical at IIT Roorkee?,0
3ec26fd038ab33398536,"What is the best film version of Hamlet, and why?",0
d4ed5fa27be2f32b6e79,In what ways did the US army evolve between the Gulf War and the invasion of Iraq?,0
c40df0b75ab4480fa8f9,How do I choose a machine learning algorithm to predict football player rating?,0
0128d2030ccda8bf97f6,What is a film or TV show that most accurately portrays what it is to live with depression?,0
02ab79840fb8f41aec90,"Is god made of ordinary matter, dark matter or something completely different?",0
71b4fa6adb16c35fbab8,Which is the best coaching training institute in India?,0
ac1f0a469d4878558241,Does New Delhi Plaza Premium (International Arrival) Lounge have reclining chairs in the sitting area?,0
1e126905cce991d0abdf,Does ransomware affect individual bank accouts?,0
bc52d54f527b4a3dcf76,What do you do when you get a threat by your girlfriend's ex?,0
35a6f2d937ac6c225d80,What's the difference between The Council of EU and European Council?,0
e1f9995a3055569a7ef5,What are the bad effects of various festival on the environment?,0
4153faa8ffd4c200bbd2,What are the solutions to reduce mutual coupling in printed (microstrip) antenna arrays?,0
d884a1cbe35c13dd1fca,Can lymphatic vessels regenerate?,0
8983a02da98879170771,Is there an easy way to memorize the rule of adding negatives and positives?,0
d6dca13231aef2c5520a,How many of you recently paid for an online business training program and actually made some good cash?,0
83373ec52ef92cb10558,"Why didn't Hitler expropriate more wealth and lands from the aristocrats (e.g. Thurn und Taxis), especially after he decided they were no longer useful as allies?",0
73211dda25f2de9d59f9,What should I know to understand the news right now?,0
1e7ba02a911718db612f,When should I repot my boxwood bonsai?,0
57dbbfc5c9c9e5739851,How do I scrape data from http://fiata.com/membership/individual-members/members-directory-submit/members-directory.html It has a button?,0
5310dcda4d444ba4ba87,"N your opinion, who are the worst types of scammers?",0
bad3d4ed20a37aed97af,What are chances that Facebook will beat Google?,0
ec759b26b58379e40b83,What are best movies about restarting life?,0
568b622d3ac5987b493c,How can I sing without getting nervous?,0
a6d35242c742dc4fa174,Is there a healthy person with 48 chromosomes?,0
6490e80e8dd26cb0733d,What are the major areas an intern can get knowledge from a site?,0
9b76f33e957d1e69d826,Which country has the highest rate of overweight people?,0
de03b1aae60938c37a01,"Do you think the US should continue to separate children from parents at the border? Currently there are close to 12,000 children, mostly under 12 being withheld from their parents.",0
cefd3cb4a293be85640f,Are there many south Americans working at big budget video games companies?,0
6d8c4f5b91701a0ea730,Can you reach out to your ex who never made any attempts at reconciling with you?,0
51e33596180ee41a8e9f,What is the best time table for small children?,0
6715918368645601629a,Do tech engineers have leisure for hobby except for programming?,0
b916a637c516c0a5b6ab,How did the ottoman empire influence the development of civilizations in the region?,0
f8a73e4e2be18f8037f9,What countries (worldwide) have the highest birth rates?,0
008d861c871c70cd227e,Will Blockchain Technology revolutionize the education institution?,0
a3cfe841f2257af54539,Why does Trump seemingly idolize dictators but disrespects democratic leaders?,0
b971084a3decd2fa65f8,What is life at LUMS like?,0
337e2a8cefc5f5bbef5c,How should I prepare for IBPS PO 2017 from now?,0
64c8707a6f9c01d6feb0,"Which engineering branch has more scope, mechanical or aeronautical?",0
dcc2bd8f2dc79261ba89,What are the compliance for private limited company?,0
ffb4a9f6c0f345605d8f,How Do I Commit Suicide Without a trace?,0
b3a97114cd7e7065209b,What is the bounce on m2 sw and lw?,0
68752183191d3cb5c035,What are some low calorie and low carb breakfast ideas?,0
ebc096d1bd62c90e7278,What is the ccitizenship of an illegitimate child whose father is a Filipino and mother is a foreigner?,0
a0e67e7a7908ce0162a5,Is troll a gender if so am I being descriminated against?,1
bd55eb6108e27e4b064e,Why is it so hard to deal with breakups caused by external circumstances?,0
1c08b6f05b26608088df,What is toper coin?,0
7af3445ffa0eadee0ed7,"What is the future of car insurance in self-driving cars? Car company, third-party software company, parts makers or passenger with license?",0
f5eb3465d96d60519551,How many candidates cleared UPSC this year in first attempt?,0
39e2af5b02a28b841e1d,Have you ever experienced a supernatural situation?,0
188885cba2861ed5a451,What was your schedule during last month of 12 th boards?,0
7a782bf26711d0ef07fe,Is bsc in interior design a good course to study? Can one get a good salary after doing master's in interior designing?,0
afdfdd8e40dc8609e9a4,How much investment is needed to start a shawarma shop in Bangalore?,0
7f99cd2fda2890303a89,What is your favorite quote about the craft of translation and being bilingual?,0
701d022f2cd31663303f,"Generally speaking, how do most Saudi nationals view Mohammed bin Salman?",0
6d213c54f0a55d6e4117,What was the difference in function between the Gestapo and the SD after the Nazis came to power?,0
89ce8a9e0e201650aeb7,Why can't I see my followers?,0
a37d38b8aa38bc57a79a,What is a winklevoss?,0
342d2f3f48be98ea1c30,How do narcissists and psychopaths differ cognitively?,0
5de4bcc8b2dcb5752c8f,Is it true that soldiers are not allowed to send photos or videos on cell phones?,0
c7c1a222f6e9358d328d,Would racist will remain racist if they become colour blind?,0
9f9b177dea9e4218fc50,Help my dick got stuck in the hole of my DVD?,1
49a6d4cb8aa551055edd,What are the career opportunities after studying physics?,0
d7b0d163d7fa4a5e4c82,Does it feel awkward to learn about Hitler in Germany when you have blonde hair and blue eyes?,1
1713be2b7a6b851a29a9,What is the hiring process like at Mophie?,0
d4b768248fc400acb609,What are the career paths in data science?,0
1543e5d4f6be7ee7535e,What was the issue between Actor Rajinikanth and Jayalalitha?,0
deed55d194a87e95afb8,Why is India interested in increasing conflicts across the world?,0
c1990b7093b987c5cce6,Why can sometimes 90 degree signs attract each other?,0
05db9b3f1a7dd47ff744,"Who would win, Mike Tyson vs a kangaroo?",0
52c95f762a90eb5b2927,What type of star are we seeing from earth?,0
ffac5aaaaf4692cc1713,How has and how can/will advancements in computer graphics propel robotics and/or AI further?,0
dc840d47e5543a2e4d59,What college will I get into if I have scored 9k in my KCET 2017?,1
a178d8731fe7b7a962f4,Can you suggest some interesting literary selections which could be discussed in a high school English class?,0
2ed6131861ada921f708,What do people from Vietnam think about the US after the War?,0
b18a4849cd87878e3056,How easy is it to lose everything important?,0
12dbef342dd4844ed90d,What are some of the varieties of white rice?,0
d5602e96ffb1b64d1a67,I am unable to feel the care and love of anyone. What shall I do?,0
1d5bcbe4fc1dc5a10550,What causes anxiety to hit out of nowhere?,0
2750907f68dfc373e030,What are the best body weight exercises for burning calories?,0
202e2ce0a2226c80e0df,Why doesn't the world care about anything?,1
a420e3a6334d44e561e9,Why do people often feel shame and embarassment about their inner-child tendencies?,0
844c3fd34af521eaf279,What could I write for a conclusion for slavery?,0
9c95f399678bdff2cc38,Why does NY State require a Social Security Card to get a drivers license?,0
b0d893d9faf453ea14a3,How can I know my GWF number?,0
6665db74370d66c5c61c,What are the dangers of using levocetirizine?,0
5cd099b6535a41d5098c,What is the meaning of guest house?,0
7d9c9cce7750ce947fd3,"Has Obama’s rep been slipping so much since he left office, that any reference I see about him now includes ‘warmonger’ or worse? Surely he deserves better?",1
7f088dced0ae5c1a4d96,What are some of the best culmination dresses for an 8th grader to wear?,0
50923be192e1ef14da98,What is heterofertilization?,0
f1423add6e7f1b670cfb,What is the greenhouse emission of each SpaceX launch?,0
e6a8333997c77ac68407,What is the origin of the Jedi symbol? Does it ever appear in the Star Wars movies?,0
e360080223faa0dae0a6,What does Walt Disney purchasing the majority of 21st Century Fox's assets mean for Indians?,0
a9f5a0a14fa7d7ced3c1,"Why is ""Barkha Dutt"" is talking so much about the high profile case of Manu Sharma? Instead of shameful act of hate happened in Bengal?",0
bc2f7ba25d24f7b929b4,How do I make new friends on social media?,0
107342a04d06d83f935a,"Have you noticed that people that come as children to the United States call us white, black or Americans as if they weren't when they are too?",1
d64bff6ad3c3d9549681,Why would someone with a senior status apply for a junior position?,0
f8a986873d2ed46f5a80,How long do you cook garlic bread in the oven?,0
4a92a94212d83b6ed952,How is MS in CS at Penn State Harrisburg in terms of course work and job opportunities?,0
f5f2405b821f6331a4d6,Obama is a Christian. Trump is an atheist. Why do nearly all atheists I know hate Trump?,1
40bc272fecf1d7a5e4fe,What thing allows to let in light ND air?,0
8d1ccbe20e07d1057f35,Why it is hard to find a gay partner?,0
a633747222be5efcefc9,What are some interesting things you noticed in the 1991 movie Slacker?,0
1fe86a6efcf513a756d9,What planet are near venus?,0
53b99ef74612fbb0d24b,How can I fake my own death and look different?,0
cb347f8d572660f41e04,What scene was filmed at the Chavon River?,0
661c406e8d6c009c0e18,When did you realize that you were more stupid than you thought?,0
9172b266b84aae8c12ad,What are best ways to treat a strep throat and psoriasis?,0
990e84cecd9051cfc543,What are the best and smart ways to type a message on WhatsApp?,0
caf98c030cce5c92f4b4,What are the major accomplishments by Alton Byrd as a basketball player?,0
8cc47c0da85e7365ea52,How do you feel about today's society? Are we better or worse off than we used to be?,0
fb30f604dc9189bdefb8,What are some fun ideas for a summer time birthday party for preschool aged children?,0
a86c697bcabc8961e3ba,Why did Tony Stark recruit Spider-Man and not Daredevil?,0
86e7049af214821d60e6,Do profits decrease after rounding the price to .00?,0
df52bf345b7de1f7d13b,How I am fill the application form when I take 87.2%marks in 12thclass?,0
50a0f3a5efca7400fb86,Which is the best Android development institute in Pune?,0
5fb77a463b0ea6726f6d,How do I handle anxiety when I play sports?,0
890ac33ab84a5b0f0db0,What is the treatment for Corneal Guttata or Fuchs' Corneal Dystrophy?,0
2ea7b2a791b628c08b37,"Is there a filter for irrelevancy and stupidity on Quora? If so, why are some people allowed to consistently make really idiotic posers about President Obama?",1
58aebe03db9c15262ca2,Is it true that if we dream that we passed in an exam then in reality we fail?,0
11b99f7d8371de12e34f,What is the future of IoTs?,0
3fa99828678e6de59445,Why do the vast majority of Indians not truly understand Hinduism?,0
81bcc2f9dd3688688746,How much can a candid photo change our perception?,0
80dbc77df577b9e52fc6,Do you get devices if you charm or possess a neutral unit with devices in Warcraft 3 TFT?,0
7ead644de6b5240d80e0,How do I tell if a guy is not into me or into me?,0
ef30e73bf0a81a06ccf6,Is there a special place in hell for the likes of Genghiz Khan?,0
567c1092f6c1810df8ef,What are the best possible ways to reduce the usage of smartphones?,0
c21ea259630c7940cfd5,I have a small bump that is under my skin and is moveable in my right leg. Is it common and what is it?,0
a1082f1f5bc506f0423b,What is inertial and non-inertial frames?,0
9a36ab701d457d75029d,Is it racist if I yell out 'hokkien noodles' in an Asian accent before I start to make my instant noodles?,1
16cc16a82b5d0298ed90,What do you think of this generation?,0
5097369a3f331855e199,"In what ways does life change, both good and bad, after college?",0
18b8466b63e7a3886475,"If a crazy guy on the interstate were to fire a gun at opposing traffic, what tools do the police have to catch people like this? Assuming the obvious stuff was out eg finger prints and witnesses.",0
6cd41297bf6e97eb008e,Is it better to have a nice skin for a Kpop audition?,0
3db8a041883bda9c48a4,"What is the procedure to pay challan if my traffic challan is lost, in Punjab?",0
ced8a26d0cb97a064e5c,What are carpentry symbols?,0
3e7ce886c08c24910bde,Would you like to get into a relationship?,0
213c2de3c9b63deaf12c,Can depression kill brain cells?,0
ee5da03bf68f012bfd97,"Why does liberal believe altruism should be a mandate, it should be a choice, else it's not libery?",0
3d1ed6d3d7db49552566,"Can I live just by eating milk, boiled egg and milk?",0
d0f837485d142e32090c,What is the use of .SQL file in doing a project?,0
f832d4bea4ce48d5e741,"If an ""abc"" company says they are looking for ""xyz"" things, does it mean you need to be a master in those things?",0
b661ca9fb360918452f3,Does UHG Gurgaon providing cab facility to Ghaziabad for 11-8 shift?,0
79c47156ddbdcc18f8ec,"After Extratorrent was shut down, what are other alternatives?",0
50f680f3d8e869c847aa,What kind of intermolecular forces exist between N2 molecules in air and what intermolecular forces exist in H2O vapor?,0
38e11259d3444ca136ee,Why is that insoluble metaphosphates provide greater thermal stability compared to other water soluble phosphates?,0
696726171c015c54dff8,"I have been admitted to VIT Vellore as a fresher, I've already made the complete hostel fees, however I did not do the online hostel booking, which is now closed. How should I book my preferred room now?",0
c79c0f97885c06b38033,How much does it cost the cheapest life in Orlando a year?,0
187ee02a11dc8c524b25,How can I get tourist visa from Nigeria to USA?,0
7842cea6f088505fbb9d,"How do you tell if your own content is counterfactual? If you attempt to evaluate your own content, you are doing so with the same mind with biases that created the supposedly counterfactual content.",0
2699c9b5130848a5576f,"My ex girlfriend read my diary, what should I do?",0
638f7504fad96727eb22,Where should I invest my money as a teenager and which project should I choose?,0
9d0d6ccea0020c38110c,"What does ""angry smiles"" mean? What does it look like?",0
0bb0ca1d8722ff1a8959,"If a male was able to pass as female and has ID saying that they are male, would they would get into trouble for not wearing a shirt in public or would they be allowed to just go on with their day while females get in trouble for the same thing?",0
3d7c16b1c3478a25ec64,Can it be true that depression always wins no matter what?,0
8c9bcbc92ecc5d8b0be7,How are placements for ECE in MSRIT?,0
fcfe45efaf969aae5287,My husband was hit in the left lower abdomen by a 40mm launcher. He now has a knot where the bullet hit him. He continues to get bad stomach pains. Is that normal?,0
8b0689c9acd0cd936449,Why there are so many funding currently poured into machine learning/data mining for health informatics research?,0
337f1c349ed4928ac849,What is residual force?,0
7379ea833aa0ffa16b09,How would you know a church is truly a church and not a whorehouse disguised as a church?,1
229c653aed679eb5254d,Why don't more people teach the average consumer Snort?,0
8b19923fae0d7730f9d2,Have you ever had a trusted visitor steal something from your house?,0
8cbec63fbf26f3625966,Can one of my relatives write my recommendation letter?,0
f4890fa08f021a5e6e7f,I am physically immortal and my body heals/regenerates From everything. How do I prove it to people?,1
aa8d3e4083a55b6bb93c,Should I use PCA as a preprocessing step to k-means clustering?,0
9252a4e7558d37ffdb3c,What is the thing you like the most about Mangalore?,0
b598c27ec22ece0fa83b,When we apply glycogen we feel refreshed. Why?,0
7e7220b3d98628c088c6,What are the dangers of globalism?,0
4ebde13ea9badea2600c,How can one make a proper schedule for studying in 11th and 12th for school and NEET?,0
c45393892e50e12eb19d,"Now that he's out of office will Mr. Obama return to saying ""ing"" instead of ""in"" at the end of words?",1
6d11858c0511006992c9,What is the history of saltine crackers?,0
ff3ba9c3858ccd18f833,How do I get a database of cars spare parts as per model?,0
b8b472b8ce4a240f5664,Can a data analyst degree get you a data science job?,0
c2172472258d97805bab,Why do some people talk so much?,0
d7e9e4e8d1c9e16306ab,Where can you find a USB if it is lost in your house?,0
cd766d586060db7abd6a,"What are the demographic factors that influence over the crime rate in Hinesville, Georgia?",0
3392a15b3aa64b79774d,What books or novels should I read as a beginner?,0
6bc41433e29706acccbb,"I'm young, dumb, and broke. What should I do?",0
a29e1abfee5e5e17f099,Why haven't l gotten any mail in almost in a week?,0
cd70d8a17bff857f2265,How would an elite distance runner do in navy seal training?,0
1a8192ced5f437ca8045,What digital marketing tactics worked in 2016 that won't work in 2017?,0
3d07831e3d899050dfef,My gym trainer is asking me to join personal training programme. Should I join it?,0
2fc3bbf0528f77c91807,What is the gate cutoff marks for ECE in 2018?,0
d206447c465929cfb6a6,"Why mass communication courses are so expensive, even though salary offered for a mass comm graduate is not that high?",0
4599eae1b6963b7e92ee,What would like to see changed in America?,0
a2d87f0458f0b1f90ff2,How fake is Kylie Jenner?,0
8fc8524b81851b6cb705,Should I let my 13-year-old-daughter have a boyfriend?,0
e6d28607bc13cf2085af,How do you determine if a vegetable oil is a good replacement for Crisco?,0
8db78762bf349a4ea10b,What are the behavioral traits of groundhogs?,0
1a23007b62c5fa7f657f,Can I get admission at DAIICT if I didn't score 75% in 12th?,0
547d3885d24c14d8d61a,How do I increase the efficiency of a reheat-regen cycle?,0
b454c9fe060435a57ffd,"What is the added meaning of the conversation between Captain America and Spider Man when Captain America said ""Where you from?"" and Spider Man answers ""Queens"", then Captain America says ""Brooklyn"" Other than geographic information of their origin?""",0
5698ff9b5b0690f61b4d,If Rahul Gandhi is pappu then why BJP always troll him?,1
17eae4f2c910764395aa,How long do bullet-proof tires last?,0
5321680a3079ecde5181,How can you uninstall Source Filmmaker?,0
84ea5aeffb63f7c8a22e,"If a+1\a=-1, then what is the value of a^2015+1\a^2015?",0
6b443c504e38eaa26823,How can you go blind from moonshine?,0
26613a3d47b0b82125e0,Can you get into nuclear fusion industry with a bachelor's degree?,0
e150a55cf01c59bb1639,Do Nepalese girls like Indian boys?,0
174ef5f6b94d0a6f3d6a,Is my workout plan enough to lose weight?,0
fc0e5057f875f6e05df9,Which is best bank coaching class in karur?,0
ecce9df34b9c6ce520fd,Is it normal to get an erection when looking at other guy's dicks in the locker room even though im str8?,0
30df15f7596a30887cfa,What are your personal thoughts about determinism?,0
c122dfdac39f708a271c,I’m made to understand that President Trump’s granddad was a German and his mother was Scottish and two of his wives were immigrants. Why does he dislike immigrants with passion?,1
fc9f1614f2c29d412bcd,Is it safe we add new 8 column in my existing building through 12 years old beams. is ok then what is the procedure?,0
872dcccf62878d8f5c62,What are the grammar rules for 'who' and 'whom'?,0
e8af053fbaf999197966,Is there any app which can convert audio into text message? (Especially required for WhatsApp use),0
a2f84f7095c36ffd4239,Why do very few species have sex for pleasure? Why do humans enjoy sex the most out of all animals?,0
a27ddd439610b8c2d378,What is your favorite Pakistani drama that is currently being aired on TV?,0
4db2a68d46e0e3edf9e5,What is the average tachycardia bpm for a healthy heart?,0
af6cf99be4c4b0ae4feb,Why was NABARD established?,0
06a2b130b9901ccf4d1a,"What was the harm of smooching a prostitute, whose STD status is unknown? Is that kissing over lips too dangerous?",0
7156fc4c90e801cc49ca,Does the average person see every time on a clock (including seconds) by the time they die?,0
82c214a46168b34011c0,"In Badminton, if the shuttlecock hits the opponent body part then goes out of the field, who gets the point?",0
ffd1064a67b7eb80216b,What should one do to overcome his grief of losing his younger brother?,0
b054c46c9fd9c800b283,"Do celebrities in India have the right to misbehave with, mistreat or abuse media people?",0
7b8e82b5d611f58fc28e,Who are some modern composers like John Williams?,0
32a97d369c3670a63c6b,How is Ryan Gosling in person?,0
be4d115282355506125c,Is there a line between innovation and laziness?,0
5fbe445ab1bcd032590f,Why do people who work in factories tend to be so judgemental?,1
6b234f904895625ae99a,How can you spot and turn around a recruiter who doesn't have a (software developer) role for you and is just taking your details/wasting time?,0
eeef86c09b0fa752e8a6,What is Estonian lace used for?,0
fde364d2ad33169d426b,What is better taking a best laptop or taking a general and upgrading that laptop?,0
8c59df57bb5fbb312180,What is the difference between the Frontline and the Frontline combo product?,0
2e5c2e7bf9f92a01598d,What are some affordable HQ drone cameras suitable for cinematography for 300-400 USD?,0
17a56d31c095e758d087,Any porn with an middle age old black man and a young hot white chick?,0
a8c43c5bdc44dacab401,Why do so many football (soccer) teams have united in their names?,0
786df0974b604ad88096,Which mobile can I bring to Canada?,0
ad7aeef65f8803bdd4fb,Is it possible to an extent to give yourself a cosmetic surgery on your own face?,0
b52b36d90b78e945c428,Has anyone score increased in NATA rechecking?,0
397b298dd1af2ee4a387,Are there any support groups for depression in Kolkata?,0
7e5df0dbd9330b9d10f9,What was life like for Greek people who were expelled from Turkey during the popualtion exchange?,0
a84becfe5c9c05173f3f,As a parent would you ever leave your 5 year old home alone?,0
a2ac901aa25fba978346,What are some stereotypes held by Singaporeans about Malaysians and vice versa?,1
67893d513979704fd357,Why isn't the British Prime Minister not called the United Kingdom Prime Minister?,0
faf2d2fc70a5895d3e74,What are the levels or categories of mathematics?,0
db6e35b4dd28ac56d5cb,Who is the most successful mechanical engineer?,0
dfc2f6d26c0e5f33ef40,Is there a way to boost oxytocin levels during sex before orgasm?,0
6a443b2be8b5c70edbec,Why does Spain look slightly orange/yellow from space?,0
46d1339f1888dd0d6d53,How do you embrace the new normal?,0
5f5b8ea7fedd182a5dbe,What's the best software to model and simulate free-floating space robots?,0
0c4f536acac86a17fc1b,Would a narcissist go to the extreme of faking or exaggerating illnesses to keep you from leaving?,0
50e70494c38357dadc1f,What are the latest ECE projects useful for society?,0
d4c3dc98f4045b9ebec0,What happens when an adult swallows a cherry pit?,0
d007fd6f4354b7c9b934,Whenever I open my Phill's recovery I loose my root access is their any solution?,0
62c166855c90d7af6fe3,"How do I start English literature thesis (on a novel) and finish in short time, what are the steps?",0
e805212e39cd55c0e7d1,Do the people of Nagaland want a separate nation?,0
7297ca049de39562d4c0,"What would be better to prepare for SAT or JEE, if we forget about money?",0
413857e5f57a1337b310,What do you think of Geshe Kelsang Gyatso?,0
290a74367a009851958a,What are the best businesses to start if you only have around £170?,0
0c32adb8cb250cedefbd,How is the NIFT Shillong campus for MFM?,0
d5ce8568b86db2e208b9,Is it possible to crack the bank PO exam by preparing by myself without joining coaching?,0
e0ddbb19cb5646fd7de9,Can one retrieve deleted data?,0
725e19d0fce6d1cb61bd,What is the difference between open and closed section of beams?,0
95333e24c8b56c46c405,What is the process or steps involved in planning?,0
f41b3c5239ffb6f96394,A few survey report of print media showed that BJP will win in Gujarat and Himachal with a good margin. How is it possible when RaGa and others made an alliance?,0
e9c7a5eb42a6cd1a1206,Is Popli is popular clan in West Punjab? What is the origin of this,0
3ae3396986e697172498,What are the additional subjects in commerce class 11?,0
eb0ee3b7067f5f34ccbb,Do I belong in the Hare Krishna movement? I feel like an outsider and don't believe all of their strict rules but have an inner connection to Vedic.,0
20988db59322a10011a5,How can it be possible to take the boat in front of the river in the middle of the river by dragging it from one side of the river?,0
0c8de9cb7b5d37f6c3a4,How will airline costs be affected in the next 5-10 years?,0
ec91684df1a3ba7430f7,What are the reliable Indian exchanges to buy Etherium?,0
77338602cb7020d18433,"How can I piss off conservatives, liberals, centrists, socialists, capitalists, communists, anarchists, homosexuals, straights, Christians, atheists, vegans , asexuals, feminists , men, women, children, and small pets in one paragraph?",1
0723a8cf5405ff493f19,How do I know which saree to choose for different ocassions?,0
938417ed0a02b23d5c85,How is Recording industry Association of America certification achieved?,0
181f41eb82516827fff6,What is the best way of Reading a holy spiritual books?,0
7f9bd450326ac9c29981,What are the disadvantages of owning a small foreign car?,0
5b7dd4e33a2f19811dc9,Why did you vote for Macri in Argentina?,0
cf54b96ec05915852759,Do people who have epilepsy forget a lot comparing to the normal ones?,0
0c1dc48f30d237bb4b3d,What are some tips to read someone's micro expressions and body language during a conversation?,0
0d7e07ce56d4297d64db,Do celebrities pay people off to hide their secrets? How do they do that?,0
fbd12e388f2175ec09cc,How do you manage to stay physically fit at 50?,0
8e43205bb5a8dae94701,Is it possible to have ads of a specific type?,0
9c13a6f42c8537f6453d,Can I switch from biology to computer science after 12?,0
67eefdf7c1d1047b2890,Do you know any tutorial for buying and selling cryptocurrencies such as Bitcoin?,0
23664356b3d5efc81a09,What is crop coefficient formula?,0
cd6017ac6ad508f896c9,Why is Coca Cola sometimes considered to be an addictive soft drink?,0
68cb97f79d171958b9f9,Which team was strong in 2018 IPL?,0
44e8ca2a5594101b418d,Where can I download free e-books of fashion?,0
ca7c1618692d4366a0e0,Why did it take 5 years for the Flight 7500 movie to premiere on the SyFy TV cable channel?,0
36d93c7076d3ac61e349,How long does Unisom last?,0
ee642899e85c1455a984,I got diagnosed with bipolar disorder by a doctor that diagnoses everyone with bipolar. How will lithium affect me given that I normally don't have mood swings?,0
4d48d8b1fc629aff8bff,What are the duties of a detective constable compared to detective sergeant and detective inspector in the UK?,0
2c404500921a7c4780ca,What are some stimuli we can subject an electron to repeatedly?,0
8e4b4f7ba51be0f45989,What if you don't remember you email?,0
5a2efb61ffac75ddf26e,What does Donald J Trump smoke?,1
04fe046299fe0e69ef37,When is Pakistan cricket playing next series after CT trophy?,0
b538e6556e993d941929,Did Indian white tone girls like black skin tone boys to do sex?,1
067f7230f7a86de07c21,How significant was Lenin? Was he good or bad?,0
ce348678cf9ff1c2c854,Is a woman working in robotics engineering worth anything?,1
80aad63a00b8e8955b73,Is ustra really effective for growing beard?,0
